"";"team.name";"nb_but";"number_of_matches";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"1";"Austria";5;4;9;68,5;79,5;10,8;10;1;68,385;39,16;4,525;15;14;2,54;0,0235;0,1265;3,8335;20,9585;23,1665;3,597;4,125;0,5;23,4365;12,979;1,2875;5;0,635;6,75;3,8335
"2";"Belgium";9;5;8;85,5;94,5;9,645;18;1;65,485;36,965;5,445;24;28;2,76;0,0095;0,076;3,0835;30,625;40,1;4,522;4,625;0,5;23,9865;11,665;1,57;8,125;0,6685;7,375;3,0835
"3";"Croatia";7;4;11;70;87;14,06;9;1;70,03;35,36;3,78;17;15;3,34;0,019;0,102;3;21,5;39,667;4,3;5,25;0,5;23,54;10,995;1,173;7;0,93;7,5;3
"4";"Czech Republic";6;5;16;89;126,5;11,18;13;1;69,87;38,8;3,91;16,5;18,5;3,62;0,012;0,1155;3,6;19,2;29,65;2,651;3,2;0,225;15,81;10,056;0,84;3,7;0,9105;3,9;3,6
"5";"Denmark";12;6;25;104;217;11,62;9;1;72,31;41,11;5;14;17;4,21;0,011;0,113;4,8;22,2;36,167;2,406;3;0,333;14,462;8,436;0,978;2,333;0,725;3,5;4,8
"6";"England";11;7;17;155;182;9,5;11;1;62,17;43,77;6,05;22;17;-0,62;0,006;0,119;4,667;28;44,75;1,767;2;0,286;13,537;7,448;1,125;3,8;-0,109;3,8;4,667
"7";"Finland";1;3;13;48;88;11,4;11;1;64,48;41,33;5,93;14;13;4,64;0,021;0,123;4,333;16;31,333;5,037;4;0,333;22,287;14,727;2,1;5;1,547;5;4,333
"8";"France";7;4;12;58;97;8,5;11;1;65,12;37,64;5,56;27;27;-0,09;0,016;0,149;5,5;30,5;36,75;3,148;3,5;0,5;27,075;13,55;1,73;7,5;-0,045;7,25;5,5
"9";"Germany";6;4;17;107;151;10,44;10;1;69,69;43,7;5,14;22;17;1,06;0,012;0,125;4,25;26,75;37,75;2,75;4;0,5;19,742;13,887;1,46;7;0,265;5,667;4,25
"10";"Hungary";3;3;7;40,5;76;14,12;9;0,5;60,565;44,71;3,73;9;13;6,18;0,0075;0,063;2,333;13,5;25,3335;5,1065;3;0,1665;21,192;15,4985;1,335;3,1665;2,2465;5;2,333
"11";"Italy";13;7;18;129;163;13,03;15;1;65,94;38,09;3,82;17;24;3,32;0,008;0,096;4,333;26;43,8;2,646;2,667;0,2;12,277;7,9;0,707;3,143;0,785;4,143;4,333
"12";"Netherlands";8;4;17;94;148;12,22;14;1;72,91;37,93;5,5;21;21;2,46;0,018;0,1;4,5;25,75;44,25;3,583;4;0,5;22,532;12,643;1,562;5,25;0,843;7,5;4,5
"13";"Poland";4;3;13;41;100;13,53;8;1;69,09;46,98;4,12;8;11;6,35;0,022;0,098;4,5;15,5;35;6,51;3;0,333;25,55;17,07;1,55;3,333;2,117;4,667;4,5
"14";"Portugal";7;4;16,5;88,5;115;13,52;11;1;69,25;42,715;4,72;16,5;22,5;2,96;0,0115;0,1195;6,25;25,625;41,75;4,0615;3,5;0,375;19,026;13,7985;1,5225;6;0,8525;7,375;6,25
"15";"Russia";2;3;6,5;47,5;99;16,28;13,5;1,5;66,695;40,66;4,145;10,5;19,5;5,99;0,033;0,0885;3,5;18,1665;46,3335;5,9775;4,8335;0,667;28,27;16,5565;1,523;4,3335;3,0965;7,1665;3,5
"16";"Scotland";1;3;6;51,5;80,5;13,74;13,5;1;63,94;43,135;3,695;15;16,5;4,175;0,021;0,102;3,3335;23,1665;34,833;6,499;5,5;0,333;27,407;15,3815;1,561;7;1,6065;7,3335;3,3335
"17";"Slovakia";2;3;9,5;41,5;68,5;10,385;12,5;1;62,685;45,375;6,38;20,5;22,5;1,95;0,0205;0,092;5;20,8335;32,25;4,1685;6,75;0,667;24,2535;19,1415;2,8375;8,9165;0,9975;11,5;5
"18";"Spain";13;6;34;175;248;11,54;18;2;70,32;47,61;4,53;27;31;-0,53;0,012;0,126;6,8;37,2;49,6;2,338;4,333;0,5;14,425;10,12;0,95;6,5;-0,095;5,4;6,8
"19";"Sweden";5;4;10;65;194;11;11;1;68,66;37,19;5,5;23;14;2,65;0,015;0,085;2,5;19;48,5;3,007;4;0,25;17,452;10,27;1,5;6,75;0,662;5;2,5
"20";"Switzerland";8;5;17;96,5;133,5;11,165;12;1;73,275;38,645;4,395;14;15,5;2,525;0,0185;0,1135;4,225;20,225;33,25;2,922;3,4;0,4;15,342;10,37;1,0235;3,4;0,8345;4,1;4,225
"21";"Turkey";1;3;8;60,5;85;12,595;13,5;1;74,535;42,205;4,18;21;21,5;5,84;0,018;0,098;2,8335;21,6665;34,5;4,5285;4,8335;0,5;25,5035;15,135;1,4515;7;1,9465;7,6665;2,8335
"22";"Ukraine";6;5;20,5;99,5;151;9,165;13;2;61,505;34,01;5,835;20,5;26;0,45;0,014;0,1255;5,05;29,425;39,1;2,576;3,8;0,5;17,0805;10,644;1,398;7,375;0,09;6,25;5,05
"23";"Wales";3;4;11;71;141;15,66;12;1;64,41;45,17;4,35;14;19;2,84;0,017;0,113;3;27;38,25;4,15;3;0,25;20,113;14,457;1,235;4;1,015;6;3
